"metric_1","metric_2","user"
25,1,"10"
2,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,1,"10"
51,14,"10"
51,1,"10"
51,1,"10"
5,1,"10"
43,1,"10"
43,1,"10"
48,1,"10"
25,1,"10"
50,1,"10"
38,1,"10"
45,1,"10"
45,1,"10"
36,1,"10"
50,1,"10"
48,1,"10"
73,1,"10"
80,1,"10"
5,1,"10"
99,99,"10"
99,99,"10"
38,1,"10"
50,1,"10"
50,1,"10"
50,1,"10"
50,1,"10"
50,1,"10"
50,1,"10"
15,1,"10"
16,1,"10"
23,1,"10"
25,1,"10"
25,1,"10"
25,1,"10"
25,1,"10"
15,1,"10"
25,1,"10"
25,1,"10"
25,1,"10"
30,1,"10"
25,1,"10"
25,1,"10"
25,1,"10"
25,1,"10"
25,1,"10"
25,1,"10"
25,1,"10"
25,1,"10"
25,1,"10"
25,1,"10"
25,1,"10"
25,1,"10"
25,1,"10"
25,1,"10"
25,1,"10"
25,1,"10"
29,1,"10"
30,1,"10"
42,10,"11"
43,11,"11"
47,14,"11"
42,10,"11"
43,11,"11"
45,12,"11"
47,14,"11"
12,1,"12"
15,5,"12"
16,1,"12"
12,7,"12"
12,2,"12"
16,1,"12"
16,1,"12"
16,2,"12"
16,3,"12"
16,11,"12"
16,12,"12"
16,13,"12"
16,14,"12"
16,20,"12"
16,8,"12"
16,7,"12"
16,15,"12"
107,21,"13"
105,20.5,"13"
113,1,"13"
45,19,"13"
19.9,7.5,"13"
205,38,"13"
204,40,"13"
203,30,"13"
255,34,"13"
373,54,"13"
259,51,"13"
26,5,"13"
25,4,"13"
3,1,"13"
258,42,"13"
13,3,"13"
46,20,"13"
500,500,"13"
500,32.1,"13"
36.5,18,"13"
19.4,7.25,"13"
5,2,"13"
23.5,4.5,"13"
370,46,"13"
224,27,"13"
372,52,"13"
61,32,"13"
100,27,"13"
204.1,44,"13"
106,20.75,"13"
104,25,"13"
50,25,"13"
271,50,"13"
190,25,"13"
6,1,"14"
1,1,"14"
2,1,"14"
3,1,"14"
3,1,"14"
7,1,"14"
5,1,"14"
10,1,"14"
4,1,"14"
5.5,1,"14"
200,1,"14"
300,2,"14"
201,2,"14"
202,2,"14"
203,2,"14"
20,1,"14"
21,1,"14"
23,1,"14"
24,1,"14"
25,1,"14"
26,1,"14"
27,1,"14"
30.1,1,"14"
31,1,"14"
36,1,"14"
37,1,"14"
34,1,"14"
106,2,"14"
35,1,"14"
31.9,1,"14"
51,2,"14"
30,1,"14"
50,1,"14"
40,1,"14"
41,1,"14"
42,1,"14"
42.1,1,"14"
44,2,"14"
103.1,2,"14"
103,2,"14"
47,1,"14"
32,1,"14"
49,1,"14"
33.1,1,"14"
51.1,2,"14"
131,1,"14"
51.3,1,"14"
51.9,1,"14"
52,1,"14"
53,1,"14"
54,1,"14"
55,1,"14"
56,1,"14"
57,2,"14"
58,2,"14"
59,1,"14"
61,1,"14"
33.3,1,"14"
63,1,"14"
64,1,"14"
65,1,"14"
49.1,1,"14"
33.5,1,"14"
68,1,"14"
69,1,"14"
70,1,"14"
71,1,"14"
72,1,"14"
72.1,1,"14"
72.2,1,"14"
84,1,"14"
73.2,1,"14"
74,1,"14"
75,1,"14"
76,1,"14"
77,1,"14"
78,1,"14"
79,1,"14"
80,1,"14"
160,2,"14"
85,1,"14"
131,1,"14"
86,1,"14"
149,2,"14"
88.1,2,"14"
89,1,"14"
90,1,"14"
91,1,"14"
91.1,1,"14"
91.2,1,"14"
91.3,1,"14"
91.4,1,"14"
91.5,1,"14"
92,2,"14"
92.1,1,"14"
93,1,"14"
95,1,"14"
96,2,"14"
97,1,"14"
98,1,"14"
98.1,2,"14"
99,1,"14"
99.1,1,"14"
100,1,"14"
101,1,"14"
51.3,1,"14"
102,1,"14"
104,2,"14"
105,2,"14"
105.1,1,"14"
105.2,2,"14"
33.7,2,"14"
107,2,"14"
72.5,1,"14"
33.6,2,"14"
110,1,"14"
111,2,"14"
113,1,"14"
114,1,"14"
114.1,1,"14"
43,1,"14"
115.5,2,"14"
116,2,"14"
118,1,"14"
119,1,"14"
39,1,"14"
120.1,2,"14"
121,2,"14"
43,2,"14"
123,1,"14"
125,1,"14"
125,2,"14"
127,2,"14"
128,2,"14"
129,1,"14"
130,1,"14"
134,2,"14"
135,2,"14"
137,2,"14"
138,2,"14"
139,2,"14"
111,2,"14"
141,2,"14"
142,2,"14"
143,2,"14"
144,2,"14"
145,2,"14"
146,2,"14"
147,2,"14"
71.2,1,"14"
71.1,1,"14"
151,2,"14"
152,2,"14"
153,2,"14"
154,2,"14"
156,2,"14"
113.5,1,"14"
33,1,"14"
48,1,"14"
199,1,"14"
31.1,1,"14"
29,2,"14"
3.1,1,"14"
26.4,1,"14"
3,1,"14"
32.2,1,"14"
32.6,1,"14"
32.5,1,"14"
32.1,1,"14"
32.3,1,"14"
32.4,1,"14"
49,2,"14"
32.7,1,"14"
72.1,1,"14"
72.2,1,"14"
72.3,1,"14"
72.4,1,"14"
72.5,1,"14"
95,2,"14"
33.4,2,"14"
21,3,"15"
220,2,"15"
251,5,"15"
22,9,"15"
24,10,"15"
250,17,"15"
119,25,"15"
34,13,"15"
109,5,"15"
33,12,"15"
